review,sentiment
"Superb build quality, this coffee maker is fantastic. Will be buying more from this brand.",positive
"Reasonably priced book, performs adequately. Might consider other brands next time.",neutral
"The backpack works flawlessly, I'm",positive
"Very disappointed with this tablet, waste of money. Asked for a refund.",negative
"The monitor is defective, requesting a refund immediately.",negative
"Nice backpack, thanks.",positive
"Excellent quality, tablet arrived on time",positive
"This phone is a scam, doesn't work as advertised. Complete waste of money.",negative
Good router.,positive
"Terrible build quality, this coffee maker is a huge",negative
"The jacket works flawlessly, I'm impressed.",positive
"Terrible build quality, this phone is a huge",negative
"Terrible build quality, this charger is a huge letdown. Asked for a refund.",negative
This phone is cheaply made and fell apart quickly. Complete waste of money.,negative
"The backpack works as expected, no complaints really. Nothing to write home about.",neutral
"I regret buying this speaker, it's just useless.",negative
"Great monitor, exceeded my expectations. Will be buying more from this brand.",positive
"Very happy with this vacuum cleaner, five stars! My whole family loves it.",positive
"The watch is decent for the price, not amazing.",neutral
"I'm so glad I bought this microwave, it's wonderful. My whole family loves it.",positive
"The television stopped working within a week, awful. Do",negative
"The blender works flawlessly, I'm impressed. My whole family loves it.",positive
"Really good blender, does",positive
"Reasonably priced monitor, performs adequately. Nothing to write home about.",neutral
"Awful television, broke within",negative
"I'm so glad I bought this router,",positive
"Poor quality blender, would not recommend.",negative
"Great router, exceeded my expectations. Definitely a great buy.",positive
Good headphones.,positive
"Very disappointed with this printer, waste of money. Never ordering from here again.",negative
"The book is decent for the price, not amazing.",neutral
"Fantastic mouse, customer service was also great. Shipping was fast too.",positive
"I absolutely love this shoes,",positive
"Perfect tablet for the price, couldn't be happier. My whole family loves it.",positive
"This router is fine, could be better though. Might consider other brands next time.",neutral
Bad mouse.,negative
"This headphones is fine, could be better though. It's okay for the price.",neutral
"I absolutely love this backpack, it works perfectly! Will",positive
"It's an average headphones, meets basic requirements. Nothing to write home about.",neutral
"I absolutely love this shoes, it works perfectly! Shipping was fast too.",positive
"Excellent quality, keyboard arrived on time and works great. Will be",positive
"Horrible experience with this tablet, never buying again. Never ordering from here again.",negative
Perfect camera for the,positive
The printer arrived damaged and customer service was rude. Never ordering from here again.,negative
"Bad backpack, completely different from what was advertised.",negative
"Top notch charger, fast delivery and great packaging. Will be buying more from this brand.",positive
The shoes is functional but the design could improve. It's okay for the price.,neutral
"This laptop does what it says, nothing extraordinary. It's okay for the price.",neutral
"The speaker is defective, requesting a refund immediately. Never ordering from here again.",negative
"Average monitor, does the job but nothing more.",neutral
"Reasonably priced phone, performs adequately. It's okay",neutral
"Very happy with this charger, five stars!",positive
"Poor quality charger, would not recommend. Complete waste of money.",negative
"Outstanding shoes, will definitely buy again. Definitely a great buy.",positive
The jacket is functional but the design could improve. Nothing to write home about.,neutral
"The phone is okay for casual use, nothing outstanding. Might consider other brands next time.",neutral
This keyboard is a,negative
"Horrible experience with this jacket, never buying again. Asked for a refund.",negative
"Outstanding watch, will definitely buy again.",positive
"This book exceeded all my expectations, love it.",positive
"The monitor works flawlessly,",positive
This phone is cheaply made and fell,negative
"Great charger, exceeded my expectations. Definitely a great buy.",positive
"This monitor is a scam, doesn't work as advertised. Never ordering",negative
"Not bad, not great, just a regular printer. Nothing to write home about.",neutral
"The backpack is okay, nothing special about it. It's okay for the price.",neutral
"Superb build quality, this watch is fantastic. Will",positive
"This laptop is amazing, worth every penny. Shipping was fast too.",positive
"Fantastic blender, customer service was also great. Will be buying more from this brand.",positive
"The shoes is decent for the price, not amazing. Nothing to write home about.",neutral
"Reasonably priced keyboard, performs adequately.",neutral
"Nice vacuum cleaner, thanks.",positive
"Poor quality mouse, would not recommend.",negative
"This keyboard does what it says, nothing extraordinary. Might consider other brands next time.",neutral
"It's a standard camera, works fine for basic needs. Nothing to write home about.",neutral
"Not bad, not great, just a regular watch. It's okay for the price.",neutral
"I regret buying this shoes, it's just useless.",negative
"I regret buying this keyboard, it's just useless. Asked for a refund.",negative
"Extremely disappointed, the backpack does not work at all. Complete waste of money.",negative
"It's a standard charger, works fine for basic needs.",neutral
"Worst book I've ever purchased, total waste. Asked for a refund.",negative
"It's an average headphones, meets basic requirements. It's okay for the price.",neutral
"It's a standard television, works fine for basic needs.",neutral
"Waste, avoid this monitor.",negative
"It's a standard tablet, works fine for basic needs. Nothing to write home about.",neutral
"I absolutely love this headphones, it works",positive
The vacuum cleaner arrived damaged and customer service was,negative
"It's an average shoes, meets basic requirements.",neutral
"It's a standard backpack, works fine for basic needs. Might consider other brands next time.",neutral
"This printer does what it says, nothing extraordinary.",neutral
"Horrible experience with this shoes, never buying again. Never ordering from here again.",negative
"The tablet is okay, nothing special about it. Nothing to write home about.",neutral
"Terrible build quality, this vacuum cleaner is a huge letdown.",negative
"Not bad, not great,",neutral
"This shoes exceeded all my expectations, love it. Definitely a great buy.",positive
The tablet is functional but the design could improve. Might consider other brands next time.,neutral
"Very disappointed with this headphones, waste of money. Do",negative
"Awful television, broke within days of use. Complete waste of money.",negative
The coffee maker is functional but the design could improve. Might consider other brands next time.,neutral
"It's an average watch, meets basic requirements. Nothing to write home about.",neutral
"This vacuum cleaner exceeded all my expectations, love it.",positive
This watch exceeded all my,positive
"Extremely disappointed, the microwave does not work at all.",negative
Horrible experience with this,negative
"Really good router, does exactly what it promises. Shipping was fast too.",positive
"This camera exceeded all my expectations, love it.",positive
"Terrible build quality, this television is a huge letdown. Never ordering from here again.",negative
"Very disappointed with this tablet, waste of money.",negative
"The television is okay, nothing special about it.",neutral
"Horrible experience with this microwave, never buying again. Asked for a refund.",negative
"The backpack is decent for the price, not amazing. Might consider other brands next time.",neutral
"I regret buying this printer, it's just useless. Complete waste of money.",negative
"Great coffee maker, exceeded my expectations. My whole family loves it.",positive
"Terrible build quality, this router is a huge letdown.",negative
"Best mouse I've ever bought, highly recommend it.",positive
"Perfect tablet for the price, couldn't be happier.",positive
"The headphones is okay for casual use, nothing outstanding.",neutral
"Outstanding router, will",positive
"The speaker works flawlessly, I'm impressed.",positive
"Very happy with this watch, five stars! My whole family loves it.",positive
"The speaker works flawlessly, I'm impressed. Shipping was fast too.",positive
"Terrible build quality, this blender is a huge letdown.",negative
"Poor quality tablet, would not recommend. Complete waste of money.",negative
"Not bad, not great, just a regular monitor.",neutral
"Bad phone, completely different from what was advertised. Asked for a refund.",negative
"Terrible build quality, this coffee maker is a huge letdown. Asked for a refund.",negative
"This vacuum cleaner exceeded all my expectations, love it. Will be buying more from this brand.",positive
Okay tablet.,neutral
"Superb build quality, this book is fantastic.",positive
"Outstanding blender, will definitely buy again. Shipping was fast too.",positive
"The printer is okay, nothing special",neutral
"The backpack works as expected, no complaints really. It's okay for the price.",neutral
"Perfect backpack for the price, couldn't be happier.",positive
"Great blender, exceeded my expectations.",positive
"It's an average camera, meets",neutral
"Nice headphones, thanks.",positive
"This tablet is amazing, worth every penny. Shipping was fast too.",positive
This keyboard is cheaply made and fell apart quickly. Complete waste of money.,negative
"The watch works as expected, no complaints really.",neutral
"The blender is okay, nothing special about it.",neutral
"I absolutely love this backpack, it works perfectly!",positive
"This monitor is amazing, worth every penny. My whole family loves it.",positive
"I regret buying this printer, it's just useless.",negative
"This vacuum cleaner does what it says, nothing extraordinary.",neutral
"This phone exceeded all my expectations, love it. Definitely a great buy.",positive
"Very disappointed with this vacuum cleaner, waste of money. Complete waste of money.",negative
"Fantastic watch, customer service was also great.",positive
"Fantastic microwave, customer service was also great.",positive
"The printer is okay, nothing special about it. Nothing to write home about.",neutral
"Really good headphones, does exactly what it promises.",positive
"I'm so glad I bought this speaker, it's wonderful. Definitely a great buy.",positive
"I'm so glad I bought this router, it's wonderful. Definitely a great buy.",positive
"This printer is a scam,",negative
"Very disappointed with this phone, waste of money.",negative
The backpack is okay for,neutral
"Awful vacuum cleaner, broke within days of use. Do not buy this.",negative
"Great vacuum cleaner, exceeded my expectations.",positive
"Great shoes, exceeded my expectations. Will be buying more from this brand.",positive
"The vacuum cleaner is decent for the price, not amazing.",neutral
"Really good television, does exactly what it promises. My whole family loves it.",positive
"I'm so glad I bought this watch, it's wonderful. My whole family loves it.",positive
"Not bad, not great, just a regular blender.",neutral
Bad phone.,negative
The jacket is functional but the design could improve. Might consider other brands next time.,neutral
"This headphones is fine, could be better though. Nothing to write home about.",neutral
"This jacket is fine, could be better though.",neutral
"It's an average printer, meets basic requirements.",neutral
"Average laptop, does the job but nothing more. Might consider",neutral
The printer is functional but the design could improve.,neutral
"Average router, does the job but nothing more. Might",neutral
"The vacuum cleaner is okay for casual use, nothing outstanding. Might consider other brands next time.",neutral
"Outstanding watch, will",positive
"This backpack is amazing, worth every penny. Shipping was fast too.",positive
"Very disappointed with this television, waste of money. Asked for a refund.",negative
"It's an average router, meets basic requirements. It's okay for the price.",neutral
Bad keyboard.,negative
"The monitor is decent for the price, not amazing.",neutral
"Very happy with this phone, five stars!",positive
This watch is cheaply made and fell apart quickly. Never ordering from here again.,negative
"The blender is defective, requesting a refund immediately. Never ordering from here again.",negative
"Really good watch, does exactly what it promises.",positive
"Worst router I've ever purchased, total waste.",negative
"It's a standard printer, works fine for basic needs. Might consider other brands next time.",neutral
Good tablet.,positive
"Awful laptop, broke within days of use. Complete waste of money.",negative
"Great microwave, exceeded my",positive
"This television is amazing, worth every penny.",positive
"Superb build quality, this camera is fantastic. My whole family loves it.",positive
"This charger is fine, could be better though. Might consider other brands next time.",neutral
"Top notch coffee maker, fast delivery and great packaging.",positive
"Excellent quality, backpack arrived on time and works great. Definitely a great buy.",positive
"Extremely disappointed, the mouse does not work at all. Complete waste of money.",negative
"This backpack is terrible, broke after one day. Asked for a refund.",negative
"Nice charger, thanks.",positive
"This mouse exceeded all my expectations, love it.",positive
"This shoes is amazing, worth every penny. Definitely a great buy.",positive
"Bad coffee maker, completely different from what was advertised. Asked for a refund.",negative
Okay book.,neutral
"Reasonably priced monitor, performs adequately. Might consider other brands next time.",neutral
"Top notch camera, fast",positive
"Really good microwave, does exactly what it promises. Shipping was fast too.",positive
"Worst microwave I've ever purchased, total waste. Complete waste of money.",negative
"The charger is decent for the price, not amazing.",neutral
"Reasonably priced jacket, performs adequately. Might consider other brands next time.",neutral
"Average speaker, does the job but nothing more. Might consider other brands next time.",neutral
"The coffee maker works as expected, no complaints really.",neutral
The charger is functional but the design could improve. Might consider other brands next time.,neutral
"The watch is defective, requesting a refund immediately. Never ordering from here again.",negative
"This speaker does what it says, nothing extraordinary. It's okay for the price.",neutral
"This laptop is terrible, broke after one day. Do not buy this.",negative
"It's a standard phone, works fine for basic needs. It's okay for the price.",neutral
"The book works as expected, no complaints really. Might consider other brands next time.",neutral
"Really good printer, does exactly what it promises.",positive
"The shoes is decent for the price, not amazing.",neutral
"The coffee maker works flawlessly, I'm impressed. Definitely a great buy.",positive
"This watch is fine, could be better though. Might consider other brands next time.",neutral
"The book stopped working within a week, awful. Never ordering from here again.",negative
"I'm so glad I bought this coffee maker, it's wonderful. Will be buying more from this brand.",positive
"Very disappointed with this book, waste of money.",negative
"Really good mouse, does",positive
"Poor quality jacket, would not recommend. Never ordering from here again.",negative
"It's a standard laptop, works fine for basic needs. It's okay for the price.",neutral
Bad router.,negative
"Fantastic backpack, customer service was also great. My whole family loves it.",positive
"Outstanding camera, will definitely buy again. Will be buying more from this brand.",positive
The keyboard arrived damaged and,negative
"Average shoes, does the job but nothing more.",neutral
"The coffee maker works as expected, no complaints really. It's okay for the price.",neutral
"Terrible build quality, this tablet is a huge letdown.",negative
"The vacuum cleaner is okay, nothing special about it.",neutral
The laptop stopped working,negative
This book is cheaply made and,negative
"Terrible build quality, this watch is a huge letdown.",negative
"This blender is fine, could be better though.",neutral
"Outstanding microwave, will definitely buy again.",positive
"Superb build quality, this tablet is fantastic. Definitely",positive
"The laptop is decent for the price, not amazing.",neutral
"The vacuum cleaner works as expected, no complaints really.",neutral
"Awful television, broke within days of use. Never ordering from here again.",negative
"Top notch watch, fast delivery and great packaging. Definitely a great buy.",positive
"The keyboard is okay, nothing special about it. Nothing to write home about.",neutral
"Great headphones, exceeded my expectations. Definitely a great buy.",positive
"Excellent quality, headphones arrived on time and works great. Will be buying more from this brand.",positive
"Superb build quality, this shoes is fantastic.",positive
"The jacket is decent for the price, not amazing.",neutral
Okay camera.,neutral
"Nice microwave, thanks.",positive
"Excellent quality, mouse arrived on time and works great. Shipping was fast too.",positive
"This printer is terrible, broke after one day. Never ordering from here again.",negative
"This printer is terrible, broke after one day. Complete waste of money.",negative
"Bad router, completely different from what was advertised.",negative
"Worst television I've ever purchased, total waste. Do not buy this.",negative
"Extremely disappointed, the speaker does not work at all. Never ordering from here again.",negative
"I regret buying this phone, it's just useless. Never ordering from here again.",negative
"Horrible experience with this microwave, never buying again.",negative
"Reasonably priced charger, performs adequately.",neutral
"I regret buying this tablet, it's just useless. Do not buy this.",negative
"Really good jacket, does exactly",positive
"Terrible build quality, this printer is a huge letdown. Asked for a refund.",negative
"Outstanding coffee maker, will",positive
Okay microwave.,neutral
"Very happy with this speaker, five stars! Definitely a great buy.",positive
"Terrible build quality, this microwave is a huge letdown. Complete waste of money.",negative
"Average speaker, does the job but nothing more. It's okay for the price.",neutral
"This backpack is terrible, broke after one day.",negative
"Awful microwave, broke within days of use.",negative
"Very disappointed with this microwave, waste of money.",negative
The blender is functional but the design could improve. Nothing to write home about.,neutral
"Very disappointed with this phone, waste",negative
"Very happy with this television, five stars!",positive
Reasonably priced coffee,neutral
"This tablet is a scam, doesn't work as advertised. Asked for a refund.",negative
"The backpack works flawlessly,",positive
The charger arrived damaged and customer service was rude.,negative
"It's a standard watch, works fine for basic needs.",neutral
"The blender works as expected, no complaints really. It's okay for the price.",neutral
Worst shoes I've ever,negative
"Not bad, not great, just a regular charger.",neutral
"Extremely disappointed, the television does not work at all. Complete waste of money.",negative
"The blender is decent for the price, not amazing. It's okay for the price.",neutral
"Excellent quality, book arrived on time and works great.",positive
"Very happy with this router, five stars! Definitely a great buy.",positive
"Average phone, does the job but nothing more. Nothing to write home about.",neutral
The keyboard is functional but the design could improve.,neutral
"This microwave is a scam, doesn't work as advertised. Never ordering from here again.",negative
"Average printer, does the job",neutral
"The vacuum cleaner works flawlessly, I'm impressed. Definitely a great buy.",positive
"The mouse is okay for casual use, nothing outstanding. Nothing to write home about.",neutral
"Outstanding shoes, will definitely buy again.",positive
"This speaker is terrible, broke after one day.",negative
"Awful monitor, broke within days of use.",negative
"Excellent quality, speaker arrived on time and works great. Will be buying more from this brand.",positive
"This mouse is fine, could be better though. Nothing to write home about.",neutral
"Horrible experience with this coffee maker, never buying again.",negative
"Great router, exceeded my expectations.",positive
"Great keyboard, exceeded my expectations. My whole family loves it.",positive
"Reasonably priced television, performs adequately. Might consider other brands next time.",neutral
"The shoes works as expected,",neutral
"This phone does what it says, nothing extraordinary. Nothing to write home about.",neutral
"I absolutely love this tablet, it works perfectly!",positive
"It's a standard television, works fine for basic needs. Might consider other brands next time.",neutral
"Great mouse, exceeded my expectations. Shipping was fast too.",positive
"The phone is okay, nothing special about it. It's okay for the price.",neutral
"This watch is amazing, worth every penny. Will be buying more from this brand.",positive
"Great keyboard, exceeded my expectations.",positive
This jacket is cheaply made and fell apart quickly. Do not buy this.,negative
"Very happy with this camera, five stars!",positive
"The backpack is okay for casual use, nothing outstanding. Might consider other brands next time.",neutral
"Reasonably priced television, performs adequately.",neutral
The charger arrived damaged and customer service was rude. Asked for a refund.,negative
Okay phone.,neutral
"Average keyboard, does the",neutral
"This backpack exceeded all my expectations, love it. My whole family loves it.",positive
"Average mouse, does the job but nothing more. Might consider other brands next time.",neutral
"It's a standard keyboard, works fine for basic",neutral
"The book is okay for casual use, nothing outstanding.",neutral
The headphones is functional but the design could improve. Might,neutral
"I absolutely love this book, it works perfectly!",positive
"This charger is terrible, broke after one day.",negative
"Outstanding monitor, will definitely buy again. Shipping was fast too.",positive
"Waste, avoid this blender.",negative
"The television works as expected, no complaints really.",neutral
The monitor is okay for,neutral
The shoes arrived damaged and customer service was rude.,negative
"This phone does what it says, nothing extraordinary. Might consider other brands next time.",neutral
"The microwave stopped working within a week, awful.",negative
"This backpack exceeded all my expectations, love it. Shipping was fast too.",positive
"Very happy with this charger, five stars! Definitely a great buy.",positive
"Worst laptop I've ever purchased, total waste.",negative
"It's a standard keyboard, works fine for basic needs. It's okay for the price.",neutral
"This headphones is amazing, worth every penny. Definitely a great buy.",positive
"This television is amazing, worth every penny. Will be buying more from this brand.",positive
"The camera stopped working within a week, awful. Do not buy this.",negative
"Terrible build quality, this printer is a huge letdown.",negative
"Bad coffee maker, completely different from what was advertised. Never ordering from here again.",negative
"Perfect phone for the price, couldn't be happier. Shipping was fast too.",positive
"Poor quality watch, would not recommend. Complete waste of money.",negative
"This vacuum cleaner is terrible, broke after one day. Do not buy this.",negative
"This microwave exceeded all my expectations, love it. My whole family loves it.",positive
This vacuum cleaner is cheaply made and fell apart quickly. Asked for a refund.,negative
"Superb build quality, this laptop is fantastic.",positive
"Best tablet I've ever bought, highly recommend it.",positive
"This jacket is a scam, doesn't work as advertised.",negative
"Extremely disappointed, the microwave does not work at all. Do not buy this.",negative
"Extremely disappointed, the shoes does not work at all.",negative
"The mouse is decent for the price, not amazing. Might consider other brands next time.",neutral
"Terrible build quality, this monitor is a huge letdown. Complete waste of money.",negative
"Very disappointed with this television, waste of money. Complete waste of money.",negative
"The shoes is okay, nothing special about it. Nothing to write home about.",neutral
"The printer works as expected, no complaints really. Nothing to write home about.",neutral
"This jacket is terrible, broke after one day. Complete waste of money.",negative
"Very happy with this book, five stars!",positive
"Outstanding router, will definitely buy again.",positive
"Top notch headphones, fast delivery and great packaging. Shipping was fast too.",positive
"This headphones exceeded all my expectations, love it.",positive
"The tablet works as expected, no complaints really.",neutral
"Excellent quality, speaker arrived on time and works great.",positive
"Superb build quality, this charger is fantastic.",positive
"The shoes stopped working within a week, awful. Do not buy this.",negative
"This headphones is terrible, broke after one day. Never ordering from here again.",negative
"This shoes is fine, could be better though.",neutral
"Really good monitor, does exactly what it promises.",positive
"Reasonably priced laptop, performs adequately. Nothing to write home about.",neutral
"Extremely disappointed, the blender does not",negative
"Very happy with this tablet, five stars!",positive
"This router is fine, could be better though. Nothing to write home about.",neutral
"Poor quality phone, would not recommend. Asked for a refund.",negative
"Fantastic book, customer service was also great.",positive
"Extremely disappointed, the book does not work at all. Never ordering from here again.",negative
"The camera stopped working within a week, awful. Complete waste of money.",negative
"Extremely disappointed, the jacket does not work at all. Do not buy this.",negative
"The jacket is okay for casual use, nothing outstanding.",neutral
"The jacket is defective, requesting a refund immediately.",negative
"Average tablet, does the job but nothing more.",neutral
The microwave arrived damaged and customer service was rude. Asked for a refund.,negative
"Bad blender, completely different from what was advertised. Asked for a refund.",negative
The speaker arrived damaged and customer service was rude. Do not buy this.,negative
"Bad printer, completely different from what was advertised.",negative
"The charger stopped working within a week, awful.",negative
"Poor quality vacuum cleaner, would not recommend. Complete waste of money.",negative
"This microwave is a scam, doesn't work as advertised. Do not buy this.",negative
"Excellent quality, shoes arrived on time and works great.",positive
"Outstanding television, will definitely buy again. My whole family loves it.",positive
"I'm so glad I bought this printer, it's wonderful. Definitely a great buy.",positive
"Bad keyboard, completely different from what was advertised.",negative
The vacuum cleaner arrived damaged and customer service was rude. Never ordering from here again.,negative
"Perfect television for the price, couldn't be happier.",positive
"The router is okay, nothing special about it.",neutral
"The shoes is defective, requesting a refund immediately.",negative
"The tablet is defective, requesting a refund immediately. Never ordering from here again.",negative
"Perfect router for the price, couldn't be happier.",positive
"It's an average charger, meets basic requirements.",neutral
"Poor quality shoes,",negative
"This monitor is terrible, broke after one day. Do not buy this.",negative
"It's a standard printer, works fine for basic needs.",neutral
"Terrible build quality, this router is a huge",negative
"Top notch laptop, fast",positive
Bad jacket.,negative
"Worst watch I've ever purchased, total waste.",negative
"Horrible experience with this camera, never buying again. Do not buy this.",negative
This coffee maker is cheaply made and fell apart quickly. Complete waste of money.,negative
"The mouse is okay, nothing special about it.",neutral
"Really good microwave, does exactly what it promises.",positive
"The headphones is decent for the price, not amazing.",neutral
"Waste, avoid this shoes.",negative
This laptop is cheaply made and fell apart quickly. Complete waste of money.,negative
"Very disappointed with this microwave, waste of money. Asked for a refund.",negative
"Very happy with this coffee maker, five stars! My whole family loves it.",positive
"The charger is okay, nothing special about it.",neutral
"Great phone, exceeded",positive
"Superb build quality, this headphones is fantastic. My whole family loves it.",positive
"Excellent quality, backpack arrived on time and works great. My whole family loves it.",positive
"This television is terrible, broke after one day. Complete waste of money.",negative
"Poor quality backpack, would not recommend.",negative
"Really good shoes, does exactly what it promises.",positive
"This laptop is terrible, broke after one day. Complete",negative
"Poor quality shoes, would not recommend. Asked for a refund.",negative
The shoes arrived damaged and customer service was rude. Do not buy this.,negative
"Poor quality jacket, would not recommend. Do not buy this.",negative
The book is functional but the design could improve. It's okay for the price.,neutral
"The printer is okay for casual use, nothing outstanding. Nothing to write home about.",neutral
"I regret buying this speaker, it's just useless. Do not buy this.",negative
"It's a standard vacuum cleaner, works fine for basic needs.",neutral
"Top notch watch, fast delivery and great packaging.",positive
"Outstanding television, will definitely buy again. Definitely a great buy.",positive
"Very disappointed with this keyboard, waste of money.",negative
"This keyboard is amazing, worth every penny. My whole family loves it.",positive
The router is functional but the design could improve. It's okay for the price.,neutral
"Waste, avoid this television.",negative
"Outstanding book, will definitely buy again. Will be buying more from this brand.",positive
"Extremely disappointed, the shoes does not work at",negative
"The laptop stopped working within a week, awful. Do not buy this.",negative
"Excellent quality, television arrived on time and works great.",positive
"Extremely disappointed, the headphones does not work at",negative
"This printer does what it says, nothing extraordinary. Might consider other brands next time.",neutral
"The television stopped working within a week, awful. Never ordering from here again.",negative
"The book stopped working within a week, awful. Complete waste of money.",negative
"Top notch camera, fast delivery and great packaging. Will be buying more from this brand.",positive
Okay blender.,neutral
"The vacuum cleaner is okay for casual use, nothing outstanding. Nothing",neutral
"This vacuum cleaner does what it says, nothing extraordinary. It's okay for the price.",neutral
"Bad camera, completely different from what was advertised.",negative
Good vacuum cleaner.,positive
"Worst charger I've ever purchased, total waste. Do not buy this.",negative
"The charger is okay for casual use, nothing outstanding. Might consider other brands next time.",neutral
"The shoes is okay for casual use, nothing outstanding.",neutral
"Terrible build quality, this headphones is a huge letdown. Complete waste of money.",negative
"Very disappointed with this speaker, waste of money.",negative
"The microwave works as expected, no complaints",neutral
"Average headphones, does the job but nothing more. Nothing to write home about.",neutral
"Worst monitor I've ever purchased, total waste. Do not buy this.",negative
"Reasonably priced mouse, performs adequately.",neutral
Bad backpack.,negative
"The headphones stopped working within a week, awful.",negative
"I'm so glad I bought this laptop, it's wonderful.",positive
"Not bad, not great, just a regular jacket.",neutral
"This printer exceeded all my expectations, love it.",positive
"I regret buying this headphones, it's just useless. Never ordering from here again.",negative
"The headphones is defective, requesting a refund immediately. Asked for a refund.",negative
"Not bad, not great, just a regular charger. It's okay for the price.",neutral
"Terrible build quality, this jacket is a huge letdown.",negative
"Awful mouse, broke within days of use. Do not buy this.",negative
"Worst microwave I've ever purchased, total waste.",negative
"Reasonably priced vacuum cleaner, performs adequately.",neutral
"Awful charger, broke within days",negative
The printer arrived damaged and customer service was rude.,negative
"Poor quality headphones, would not recommend. Never ordering from here again.",negative
"Outstanding camera, will definitely buy again. Shipping was fast too.",positive
The camera arrived damaged and customer service was rude. Complete waste of money.,negative
"Outstanding shoes, will definitely buy again. Will be buying more from this brand.",positive
"This microwave does what it says, nothing extraordinary. Nothing to write home about.",neutral
This jacket is cheaply made and fell apart quickly. Asked for a refund.,negative
"The backpack is okay for casual use, nothing outstanding. Nothing to write home about.",neutral
"The router is defective, requesting a refund immediately. Complete waste of money.",negative
"Not bad, not great, just a regular shoes. It's okay for the price.",neutral
"Great headphones, exceeded my expectations.",positive
"The printer works as expected, no complaints really.",neutral
"Very happy with this vacuum cleaner, five stars! Shipping was fast too.",positive
"This microwave does what it says, nothing extraordinary.",neutral
"It's an average camera, meets basic requirements. Nothing to write home about.",neutral
"It's an average headphones, meets",neutral
"The phone works flawlessly, I'm impressed.",positive
"Top notch shoes, fast delivery",positive
This tablet is cheaply made and fell apart,negative
"Extremely disappointed, the shoes does not work at all. Do not buy this.",negative
"Worst camera I've ever purchased, total waste. Never ordering from here again.",negative
"I'm so glad I bought this printer, it's wonderful. Will be buying more from this brand.",positive
"Fantastic headphones, customer service was also great.",positive
"Extremely disappointed, the backpack does not",negative
"Poor quality printer, would not recommend. Complete waste of money.",negative
"Reasonably priced charger,",neutral
"Outstanding speaker, will definitely buy again.",positive
"The keyboard is decent for the price, not amazing.",neutral
"It's a standard blender, works fine for basic needs.",neutral
"Best printer I've ever bought, highly recommend it. Shipping was fast too.",positive
"This monitor is amazing, worth every penny.",positive
"This book is a scam, doesn't work as advertised. Complete waste of money.",negative
"The keyboard works as expected, no complaints really.",neutral
"Poor quality keyboard, would not recommend.",negative
"I absolutely love this backpack, it works perfectly! My whole family loves it.",positive
"The shoes works as expected, no complaints really.",neutral
"Top notch charger, fast delivery and great packaging.",positive
"Terrible build quality, this coffee maker is a huge letdown.",negative
"Poor quality speaker, would not recommend. Do not buy this.",negative
"The headphones is defective, requesting a refund immediately. Do not buy this.",negative
"This router is a scam, doesn't work as advertised.",negative
"The jacket stopped working within a week, awful. Asked for a refund.",negative
The vacuum cleaner arrived damaged and customer service was rude. Do not buy this.,negative
"The microwave is okay for casual use, nothing outstanding. Might consider other brands next time.",neutral
"Fantastic headphones, customer service was also great. Definitely a great buy.",positive
"The book is decent for the price, not amazing. Might consider other brands next time.",neutral
"Very happy with this laptop, five stars! Will be buying more from this brand.",positive
"Bad mouse, completely different from what was advertised.",negative
"Not bad, not great, just a regular book. It's okay for the price.",neutral
I'm so glad I bought,positive
"The monitor is okay for casual use, nothing outstanding. Nothing to write home about.",neutral
"The router is defective, requesting a refund immediately. Asked for a refund.",negative
"Fantastic laptop, customer service was also great. Will be buying more from this brand.",positive
"Worst camera I've ever purchased, total waste. Do not buy this.",negative
"This printer does what it says, nothing extraordinary. Nothing to write home about.",neutral
The vacuum cleaner is functional but the design could improve. Might consider other brands next time.,neutral
"Horrible experience with this coffee maker, never buying again. Asked for a refund.",negative
"The backpack is okay, nothing special about it. Nothing to write home about.",neutral
"This book is terrible, broke after one day. Never ordering from here again.",negative
This phone is cheaply made and fell apart quickly. Asked for a refund.,negative
"Outstanding television, will definitely buy again. Shipping was fast too.",positive
"The backpack works flawlessly, I'm impressed. My whole family loves it.",positive
Good mouse.,positive
"Bad microwave, completely different from what was advertised.",negative
"Average backpack, does the job but nothing more.",neutral
"Terrible build quality, this microwave is a huge letdown. Asked for a refund.",negative
"Extremely disappointed, the shoes does not work at all. Never ordering from here again.",negative
"Top notch shoes, fast delivery and great packaging. Shipping was fast too.",positive
"The phone is defective, requesting a refund immediately. Do not buy this.",negative
"Best backpack I've ever bought, highly recommend it. Definitely a great buy.",positive
This printer is cheaply made and fell apart quickly. Never ordering from here again.,negative
"This headphones is terrible, broke after one day.",negative
"It's a standard shoes, works fine for basic needs.",neutral
"Very happy with this television, five stars! Shipping was fast too.",positive
The laptop is functional but the design could improve. Might consider,neutral
"Average book, does the job but nothing more. Nothing to write home about.",neutral
"This printer is terrible, broke after one day.",negative
"Excellent quality, book arrived on time and works",positive
"Worst charger I've ever purchased, total waste.",negative
"Great router, exceeded my expectations. Will be buying more from this brand.",positive
"The microwave is defective, requesting a refund immediately.",negative
"Poor quality backpack,",negative
"Awful microwave, broke within days of use. Complete waste of money.",negative
"Very happy with this shoes, five stars!",positive
"This tablet is terrible, broke after one day. Do not buy this.",negative
"Horrible experience with this watch, never buying again.",negative
"The keyboard works flawlessly, I'm impressed. Definitely a great buy.",positive
"Worst backpack I've ever purchased, total waste. Never ordering from here again.",negative
